ID,Name,Summary,Attack Prerequisites,Severity,Methods of Attack,Attacker Knowledge Required
610,Cellular Data Injection,Adversaries inject data into mobile technology traffic (data flows or signaling data) to disrupt communications or conduct additional surveillance operations.,None,High,,:: KNOWLEDGE TYPE : Often achieved by nation states in conjunction with commercial cellular providers to conduct cellular traffic intercept and possible traffic injection. SKILL LEVEL : High ::
611,BitSquatting,"An adversary registers a domain name one bit different than a trusted domain. A BitSquatting attack leverages random errors in memory to direct Internet traffic to adversary-controlled destinations. BitSquatting requires no exploitation or complicated reverse engineering, and is operating system and architecture agnostic. Experimental observations show that BitSquatting popular websites could redirect non-trivial amounts of Internet traffic to a malicious entity.","An adversary requires knowledge of popular or high traffic domains, that could be used to deceive potential targets.",Medium,Spoofing; Analysis,:: KNOWLEDGE TYPE : Adversaries must be able to register DNS hostnames/URL‰Ûªs. SKILL LEVEL : Low ::
612,WiFi MAC Address Tracking,"In this attack scenario, the attacker passively listens for WiFi messages and logs the associated Media Access Control (MAC) addresses. These addresses are intended to be unique to each wireless device (although they can be configured and changed by software). Once the attacker is able to associate a MAC address with a particular user or set of users (for example, when attending a public event), the attacker can then scan for that MAC address to track that user in the future.",None,Low,,:: KNOWLEDGE TYPE : Open source and commercial software tools are available and several commercial advertising companies routinely set up tools to collect and monitor MAC addresses. SKILL LEVEL : Low ::
613,WiFi SSID Tracking,"In this attack scenario, the attacker passively listens for WiFi management frame messages containing the Service Set Identifier (SSID) for the WiFi network. These messages are frequently transmitted by WiFi access points (e.g., the retransmission device) as well as by clients that are accessing the network (e.g., the handset/mobile device). Once the attacker is able to associate an SSID with a particular user or set of users (for example, when attending a public event), the attacker can then scan for this SSID to track that user in the future.",None,Low,,:: KNOWLEDGE TYPE : Open source and commercial software tools are available and open databases of known WiFi SSID addresses are available online. SKILL LEVEL : Low ::
614,Rooting SIM Cards,"SIM cards are the de facto trust anchor of mobile devices worldwide. The cards protect the mobile identity of subscribers, associate devices with phone numbers, and increasingly store payment credentials, for example in NFC-enabled phones with mobile wallets. This attack leverages over-the-air (OTA) updates deployed via cryptographically-secured SMS messages to deliver executable code to the SIM. By cracking the DES key, an attacker can send properly signed binary SMS messages to a device, which are treated as Java applets and are executed on the SIM. These applets are allowed to send SMS, change voicemail numbers, and query the phone location, among many other predefined functions. These capabilities alone provide plenty of potential for abuse.",A SIM card that relies on the DES cipher.,High,,":: KNOWLEDGE TYPE : This is a sophisticated attack, but detailed techniques are published in open literature. SKILL LEVEL : Medium ::"
615,Evil Twin Wi-Fi Attack,"Adversaries install Wi-Fi equipment that acts as a legitimate Wi-Fi network access point. When a device connects to this access point, Wi-Fi data traffic is intercepted, captured, and analyzed. This also allows the adversary to act as a ‰Û?an-in-the-middle‰Û?for all communications.",None,Low,,
616,Establish Rogue Location,"An adversary provides a malicious version of a resource at a location that is similar to the expected location of a legitimate resource. After establishing the rogue location, the adversary waits for a victim to visit the location and access the malicious resource.",A resource is expected to available to the user.,Medium,,:: KNOWLEDGE TYPE : Adversaries can often purchase low-cost technology to implement rogue access points. SKILL LEVEL : Low ::
617,Cellular Rogue Base Station,"In this attack scenario, the attacker imitates a cellular base station with his own ‰Û?ogue‰Û?base station equipment. Since cellular devices connect to whatever station has the strongest signal, the attacker can easily convince a targeted cellular device (e.g. the retransmission device) to talk to the rogue base station.",None,Low,,:: KNOWLEDGE TYPE : This technique has been demonstrated by amateur hackers and commercial tools and open source projects are available to automate the attack. SKILL LEVEL : Low ::
618,Cellular Broadcast Message Request,"In this attack scenario, the attacker uses knowledge of the target‰Ûªs mobile phone number (i.e., the number associated with the SIM used in the retransmission device) to cause the cellular network to send broadcast messages to alert the mobile device. Since the network knows which cell tower the target‰Ûªs mobile device is attached to, the broadcast messages are only sent in the Location Area Code (LAC) where the target is currently located. By triggering the cellular broadcast message and then listening for the presence of absence of that message, an attacker could verify that the target is in (or not in) a given location.",The attacker must have knowledge of the target‰Ûªs mobile phone number.,Low,,:: KNOWLEDGE TYPE : Open source and commercial tools are available for this attack. SKILL LEVEL : Low ::
619,Signal Strength Tracking,"In this attack scenario, the attacker passively monitors the signal strength of the target‰Ûªs cellular RF signal or WiFi RF signal and uses the strength of the signal (with directional antennas and/or from multiple listening points at once) to identify the source location of the signal. Obtaining the signal of the target can be accomplished through multiple techniques such as through Cellular Broadcast Message Request or through the use of IMSI Tracking or WiFi MAC Address Tracking.",,Low,,:: KNOWLEDGE TYPE : Commercial tools are available. SKILL LEVEL : Low ::
62,Cross Site Request Forgery,"An attacker crafts malicious web links and distributes them (via web pages, email, etc.), typically in a targeted manner, hoping to induce users to click on the link and execute the malicious action against some third-party application. If successful, the action embedded in the malicious link will be processed and accepted by the targeted application with the users' privilege level. This type of attack leverages the persistence and implicit trust placed in user session cookies by many web applications today. In such an architecture, once the user authenticates to an application and a session cookie is created on the user's system, all following transactions for that session are authenticated using that cookie including potential actions initiated by an attacker and simply riding the existing session cookie.",,Very High,Spoofing; Analysis,:: KNOWLEDGE TYPE : The attacker needs to figure out the exact invocation of the targeted malicious action and then craft a link that performs the said action. Having the user click on such a link is often accomplished by sending an email or posting such a link to a bulletin board or the likes. SKILL LEVEL : Medium ::
620,Drop Encryption Level,"An attacker forces the encryption level to be lowered, thus enabling a successful attack against the encrypted data.",,High,,
621,Analysis of Packet Timing and Sizes,"An attacker may intercept and log encrypted transmissions for the purpose of analyzing metadata such as packet timing and sizes. Although the actual data may be encrypted, this metadata may reveal valuable information to an attacker. Note that this attack is applicable to VOIP data as well as application data, especially for interactive apps that require precise timing and low-latency (e.g. thin-clients).","Use of untrusted communication paths enables an attacker to intercept and log communications, including metadata such as packet timing and sizes.",Low,,:: KNOWLEDGE TYPE : These attacks generally require sophisticated machine learning techniques and require traffic capture as a prerequisite. SKILL LEVEL : High ::
622,Electromagnetic Side-Channel Attack,"In this attack scenario, the attacker passively monitors electromagnetic emanations that are produced by the targeted electronic device as an unintentional side-effect of its processing. From these emanations, the attacker derives information about the data that is being processed (e.g. the attacker can recover cryptographic keys by monitoring emanations associated with cryptographic processing). This style of attack requires proximal access to the device, however attacks have been demonstrated at public conferences that work at distances of up to 10-15 feet. There have not been any significant studies to determine the maximum practical distance for such attacks. Since the attack is passive, it is nearly impossible to detect and the targeted device will continue to operate as normal after a successful attack.",Proximal access to the device.,Low,,":: KNOWLEDGE TYPE : Sophisticated attack, but detailed techniques published in the open literature. SKILL LEVEL : Medium ::"
623,Compromising Emanations Attack,"Compromising Emanations (CE) are defined as unintentional signals which an attacker may intercept and analyze to disclose the information processed by the targeted equipment. Commercial mobile devices and retransmission devices have displays, buttons, microchips, and radios that emit mechanical emissions in the form of sound or vibrations. Capturing these emissions can help an adversary understand what the device is doing.",Proximal access to the device.,Low,,:: KNOWLEDGE TYPE : Sophisticated attack. SKILL LEVEL : High ::
624,Fault Injection,"The adversary uses disruptive signals or events (e.g. electromagnetic pulses, laser pulses, clock glitches, etc.) to cause faulty behavior in electronic devices. When performed in a controlled manner on devices performing cryptographic operations, this faulty behavior can be exploited to derive secret key information.",Physical access to the systemThe adversary must be cognizant of where fault injection vulnerabilities exist in the system in order to leverage them for exploitation.,High,,":: KNOWLEDGE TYPE : Adversaries require non-trivial technical skills to create and implement fault injection attacks. Although this style of attack has become easier (commercial equipment and training classes are available to perform these attacks), they usual require significant setup and experimentation time during which physical access to the device is required. SKILL LEVEL : High ::"
625,Mobile Device Fault Injection,"Fault injection attacks against mobile devices use disruptive signals or events (e.g. electromagnetic pulses, laser pulses, clock glitches, etc.) to cause faulty behavior. When performed in a controlled manner on devices performing cryptographic operations, this faulty behavior can be exploited to derive secret key information. Although this attack usually requires physical control of the mobile device, it is non-destructive, and the device can be used after the attack without any indication that secret keys were compromised.",,,,":: KNOWLEDGE TYPE : Adversaries require non-trivial technical skills to create and implement fault injection attacks on mobile devices. Although this style of attack has become easier (commercial equipment and training classes are available to perform these attacks), they usual require significant setup and experimentation time during which physical access to the device is required. This prerequisite makes the attack challenging to perform (assuming that physical security countermeasures and monitoring are in place). SKILL LEVEL : High ::"
626,Smudge Attack,Attacks that reveal the password/passcode pattern on a touchscreen device by detecting oil smudges left behind by the user‰Ûªs fingers.,The attacker must have physical access to the device.,,,:: SKILL LEVEL : Medium ::
627,Counterfeit GPS Signals,"An adversary attempts to deceive a GPS receiver by broadcasting counterfeit GPS signals, structured to resemble a set of normal GPS signals. These spoofed signals may be structured in such a way as to cause the receiver to estimate its position to be somewhere other than where it actually is, or to be located where it is but at a different time, as determined by the adversary.",The target must be relying on valid GPS signal to perform critical operations.,High,,:: KNOWLEDGE TYPE : The ability to spoof GPS signals is not trival. SKILL LEVEL : High ::
628,Carry-Off GPS Attack,"A common form of a GPS spoofing attack, commonly termed a carry-off attack begins with an adversary broadcasting signals synchronized with the genuine signals observed by the target receiver. The power of the counterfeit signals is then gradually increased and drawn away from the genuine signals. Over time, the adversary can carry the target away from their intended destination and toward a location chosen by the adversary.",The target must be relying on valid GPS signal to perform critical operations.,High,,:: SKILL LEVEL : High ::
629,Unauthorized Use of Device Resources,"An adversary that has previously obtained unauthorized access to certain device resources, uses that access to obtain information such as location and .",,,,:: SKILL LEVEL : High ::
63,Cross-Site Scripting (XSS),"An adversary embeds malicious scripts in content that will be served to web browsers. The goal of the attack is for the target software, the client-side browser, to execute the script with the users' privilege level. An attack of this type exploits a programs' vulnerabilities that are brought on by allowing remote hosts to execute code and scripts. Web browsers, for example, have some simple security controls in place, but if a remote attacker is allowed to execute scripts (through injecting them in to user-generated content like bulletin boards) then these controls may be bypassed. Further, these attacks are very difficult for an end user to detect.","Target client software must be a client that allows scripting communication from remote hosts, such as a JavaScript-enabled Web Browser.",Very High,Injection; Modification of Resources; Protocol Manipulation,":: KNOWLEDGE TYPE : To achieve a redirection and use of less trusted source, an attacker can simply place a script in bulletin board, blog, wiki, or other user-generated content site that are echoed back to other client machines. SKILL LEVEL : Low :: KNOWLEDGE TYPE : Exploiting a client side vulnerability to inject malicious scripts into the browser's executable process. SKILL LEVEL : High ::"
630,TypoSquatting,"An adversary registers a domain name with at least one character different than a trusted domain. A TypoSquatting attack takes advantage of instances where a user mistypes a URL (e.g. www.goggle.com) or not does visually verify a URL before clicking on it (e.g. phishing attack). As a result, the user is directed to an adversary-controlled destination. TypoSquatting does not require an attack against the trusted domain or complicated reverse engineering.","An adversary requires knowledge of popular or high traffic domains, that could be used to deceive potential targets.",Medium,Spoofing; Analysis; Social Engineering,:: KNOWLEDGE TYPE : Adversaries must be able to register DNS hostnames/URL‰Ûªs. SKILL LEVEL : Low ::
631,SoundSquatting,"An adversary registers a domain name that sounds the same as a trusted domain, but has a different spelling. A SoundSquatting attack takes advantage of a user's confusion of the two words to direct Internet traffic to adversary-controlled destinations. SoundSquatting does not require an attack against the trusted domain or complicated reverse engineering.","An adversary requires knowledge of popular or high traffic domains, that could be used to deceive potential targets.",Medium,Spoofing; Analysis; Social Engineering,:: KNOWLEDGE TYPE : Adversaries must be able to register DNS hostnames/URL‰Ûªs. SKILL LEVEL : Low ::
632,Homograph Attack via Homoglyphs,"An adversary registers a domain name containing a homoglyph, leading the registered domain to appear the same as a trusted domain. A homograph attack leverages the fact that different characters among various character sets look the same to the user. Homograph attacks must generally be combined with other attacks, such as phishing attacks, in order to direct Internet traffic to the adversary-controlled destinations.","An adversary requires knowledge of popular or high traffic domains, that could be used to deceive potential targets.",Medium,Spoofing; Analysis; Social Engineering,:: KNOWLEDGE TYPE : Adversaries must be able to register DNS hostnames/URL‰Ûªs. SKILL LEVEL : Low ::
64,Using Slashes and URL Encoding Combined to Bypass Validation Logic,"This attack targets the encoding of the URL combined with the encoding of the slash characters. An attacker can take advantage of the multiple ways of encoding a URL and abuse the interpretation of the URL. A URL may contain special character that need special syntax handling in order to be interpreted. Special characters are represented using a percentage character followed by two digits representing the octet code of the original character (%HEX-CODE). For instance US-ASCII space character would be represented with %20. This is often referred as escaped ending or percent-encoding. Since the server decodes the URL from the requests, it may restrict the access to some URL paths by validating and filtering out the URL requests it received. An attacker will try to craft an URL with a sequence of special characters which once interpreted by the server will be equivalent to a forbidden URL. It can be difficult to protect against this attack since the URL can contain other format of encoding such as UTF-8 encoding, Unicode-encoding, etc.",The application accepts and decodes URL string request.The application performs insufficient filtering/canonicalization on the URLs.,High,Injection; Protocol Manipulation; API Abuse,:: KNOWLEDGE TYPE : An attacker can try special characters in the URL and bypass the URL validation. SKILL LEVEL : Low :: KNOWLEDGE TYPE : The attacker may write a script to defeat the input filtering mechanism. SKILL LEVEL : Medium ::
65,Sniff Application Code,"An adversary passively sniffs network communications and captures application code bound for an authorized client. Once obtained, they can use it as-is, or through reverse-engineering glean sensitive information or exploit the trust relationship between the client and server. Such code may belong to a dynamic update to the client, a patch being applied to a client component or any such interaction where the client is authorized to communicate with the server.","The attacker must have the ability to place himself in the communication path between the client and server.The targeted application must receive some application code from the server; for example, dynamic updates, patches, applets or scripts.The attacker must be able to employ a sniffer on the network without being detected.",High,,":: KNOWLEDGE TYPE : The attacker needs to setup a sniffer for a sufficient period of time so as to capture meaningful quantities of code. The presence of the sniffer should not be detected on the network. Also if the attacker plans to employ a man-in-the-middle attack, the client or server must not realize this. Finally, the attacker needs to regenerate source code from binary code if the need be. SKILL LEVEL : Medium ::"
66,SQL Injection,"This attack exploits target software that constructs SQL statements based on user input. An attacker crafts input strings so that when the target software constructs SQL statements based on the input, the resulting SQL statement performs actions other than those the application intended. SQL Injection results from failure of the application to appropriately validate input. When specially crafted user-controlled input consisting of SQL syntax is used without proper validation as part of SQL queries, it is possible to glean information from the database in ways not envisaged during application design. Depending upon the database and the design of the application, it may also be possible to leverage injection to have the database execute system-related commands of the attackers' choice. SQL Injection enables an attacker to talk directly to the database, thus bypassing the application completely. Successful injection can cause information disclosure as well as ability to add or modify data in the database. In order to successfully inject SQL and retrieve information from a database, an attacker:","SQL queries used by the application to store, retrieve or modify data.User-controllable input that is not properly validated by the application as part of SQL queries.",High,Injection,":: KNOWLEDGE TYPE : It is fairly simple for someone with basic SQL knowledge to perform SQL injection, in general. In certain instances, however, specific knowledge of the database employed may be required. SKILL LEVEL : Low ::"
67,String Format Overflow in syslog(),"This attack targets the format string vulnerabilities in the syslog() function. An attacker would typically inject malicious input in the format string parameter of the syslog function. This is a common problem, and many public vulnerabilities and associated exploits have been posted.",The format string argument of the Syslog function can be tainted with user supplied data.,Very High,Injection,
68,Subvert Code-signing Facilities,"Because languages use code signing facilities to vouch for code's identity and to thus tie code to its assigned privileges within an environment, subverting this mechanism can be instrumental in an attacker escalating privilege. Any means of subverting the way that a virtual machine enforces code signing classifies for this style of attack. This pattern does not include circumstances through which a signing key has been stolen.","A framework-based language that supports code signing (such as, and most commonly, Java or .NET)Deployed code that has been signed by its authoring vendor, or a partner.The attacker will, for most circumstances, also need to be able to place code in the victim container. This does not necessarily mean that they will have to subvert host-level security, except when explicitly indicated.",Very High,Spoofing; API Abuse,":: KNOWLEDGE TYPE : Subverting code signing is not a trivial activity. Most code signing and verification schemes are based on use of cryptography and the attacker needs to have an understand of these cryptographic operations in good detail. Additionally the attacker also needs to be aware of the way memory is assigned and accessed by the container since, often, the only way to subvert code signing would be to patch the code in memory. Finally, a knowledge of the platform specific mechanisms of signing and verifying code is a must. SKILL LEVEL : High ::"
69,Target Programs with Elevated Privileges,"This attack targets programs running with elevated privileges. The attacker would try to leverage a bug in the running program and get arbitrary code to execute with elevated privileges. For instance an attacker would look for programs that write to the system directories or registry keys (such as HKLM, which stores a number of critical Windows environment variables). These programs are typically running with elevated privileges and have usually not been designed with security in mind. Such programs are excellent exploit targets because they yield lots of power when they break. The malicious user try to execute its code at the same level as a privileged system call.","The targeted program runs with elevated OS privileges.The targeted program accepts input data from the user or from another program.The targeted program does not perform input validation properly.The targeted program does not fail safely. For instance when a program fails it may authorize restricted access to anyone.The targeted program has a vulnerability such as buffer overflow which may be exploited if a malicious user can inject unvalidated data. For instance a buffer overflow interrupts the program as it executes, and makes it run additional code supplied by the attacker. If the program under attack has elevated privileges to the OS, the attacker can elevate its privileges (such as having root level access).The targeted program is giving away information about itself. Before performing such attack, an eventual attacker may need to gather information about the services running on the host target. The more the host target is verbose about the services that are running (version number of application, etc.) the more information can be gather by an attacker.This attack often requires communicating with the host target services directly. For instance Telnet may be enough to communicate with the host target.",Very High,Injection; API Abuse; Protocol Manipulation; Flooding,":: KNOWLEDGE TYPE : An attacker can use a tool to scan and automatically launch an attack against known issues. A tool can also repeat a sequence of instructions and try to brute force the service on the host target, an example of that would be the flooding technique. SKILL LEVEL : Low :: KNOWLEDGE TYPE : More advanced attack may require knowledge of the protocol spoken by the host service. SKILL LEVEL : Medium SKILL LEVEL : High ::"
7,Blind SQL Injection,"Blind SQL Injection results from an insufficient mitigation for SQL Injection. Although suppressing database error messages are considered best practice, the suppression alone is not sufficient to prevent SQL Injection. Blind SQL Injection is a form of SQL Injection that overcomes the lack of error messages. Without the error messages that facilitate SQL Injection, the adversary constructs input strings that probe the target through simple Boolean SQL expressions. The adversary can determine if the syntax and structure of the injection was successful based on whether the query was executed or not. Applied iteratively, the adversary determines how and where the target is vulnerable to SQL Injection.","SQL queries used by the application to store, retrieve or modify data.User-controllable input that is not properly validated by the application as part of SQL queries.",High,Injection; Analysis,":: KNOWLEDGE TYPE : Determining the database type and version, as well as the right number and type of parameters to the query being injected in the absence of error messages requires greater skill than reverse-engineering database error messages. SKILL LEVEL : Medium ::"
70,Try Common or Default Usernames and Passwords,"An adversary may try certain common or default usernames and passwords to gain access into the system and perform unauthorized actions. An adversary may try an intelligent brute force using empty passwords, known vendor default credentials, as well as a dictionary of common usernames and passwords. Many vendor products come preconfigured with default (and thus well-known) usernames and passwords that should be deleted prior to usage in a production environment. It is a common mistake to forget to remove these default login credentials. Another problem is that users would pick very simple (common) passwords (e.g. secret or password) that make it easier for the attacker to gain access to the system compared to using a brute force attack or even a dictionary attack using a full dictionary.",The system uses one factor password based authentication. The adversary has the means to interact with the system.,High,Brute Force,":: KNOWLEDGE TYPE : An adversary just needs to gain access to common default usernames/passwords specific to the technologies used by the system. Additionally, a brute force attack leveraging common passwords can be easily realized if the user name is known. SKILL LEVEL : Low ::"
71,Using Unicode Encoding to Bypass Validation Logic,An attacker may provide a Unicode string to a system component that is not Unicode aware and use that to circumvent the filter or cause the classifying mechanism to fail to properly understanding the request. That may allow the attacker to slip malicious data past the content filter and/or possibly cause the application to route the request incorrectly.,Filtering is performed on data that has not be properly canonicalized.,High,Modification of Resources; API Abuse; Injection,:: KNOWLEDGE TYPE : An attacker needs to understand Unicode encodings and have an idea (or be able to find out) what system components may not be Unicode aware. SKILL LEVEL : Medium ::
72,URL Encoding,"This attack targets the encoding of the URL. An attacker can take advantage of the multiple way of encoding an URL and abuse the interpretation of the URL. An URL may contain special character that need special syntax handling in order to be interpreted. Special characters are represented using a percentage character followed by two digits representing the octet code of the original character (%HEX-CODE). For instance US-ASCII space character would be represented with %20. This is often referred as escaped ending or percent-encoding. Since the server decodes the URL from the requests, it may restrict the access to some URL paths by validating and filtering out the URL requests it received. An attacker will try to craft an URL with a sequence of special characters which once interpreted by the server will be equivalent to a forbidden URL. It can be difficult to protect against this attack since the URL can contain other format of encoding such as UTF-8 encoding, Unicode-encoding, etc. The attacker could also subvert the meaning of the URL string request by encoding the data being sent to the server through a GET request. For instance an attacker may subvert the meaning of parameters used in a SQL request and sent through the URL string (See Example section).",The application should accepts and decodes URL input.The application performs insufficient filtering/canonicalization on the URLs.,High,Injection; Protocol Manipulation; API Abuse,:: KNOWLEDGE TYPE : An attacker can try special characters in the URL and bypass the URL validation. SKILL LEVEL : Low :: KNOWLEDGE TYPE : The attacker may write a script to defeat the input filtering mechanism. SKILL LEVEL : Medium ::
73,User-Controlled Filename,"An attack of this type involves an adversary inserting malicious characters (such as a XSS redirection) into a filename, directly or indirectly that is then used by the target software to generate HTML text or other potentially executable content. Many websites rely on user-generated content and dynamically build resources like files, filenames, and URL links directly from user supplied data. In this attack pattern, the attacker uploads code that can execute in the client browser and/or redirect the client browser to a site that the attacker owns. All XSS attack payload variants can be used to pass and exploit these vulnerabilities.",The victim must trust the name and locale of user controlled filenames.,High,Modification of Resources,":: KNOWLEDGE TYPE : To achieve a redirection and use of less trusted source, an attacker can simply edit data that the host uses to build the filename SKILL LEVEL : Low :: KNOWLEDGE TYPE : Deploying a malicious look-a-like site (such as a site masquerading as a bank or online auction site) that the user enters their authentication data into. SKILL LEVEL : Medium :: KNOWLEDGE TYPE : Exploiting a client side vulnerability to inject malicious scripts into the browser's executable process. SKILL LEVEL : High ::"
74,Manipulating User State,"The adversary modifies state information maintained by the target software in user-accessible locations. If successful, the target software will use this tainted state information and execute in an unintended manner. State management is an important function within an application. User state maintained by the application can include usernames, payment information, browsing history as well as application-specific contents such as items in a shopping cart. Manipulating user state can be employed by an adversary to elevate privilege, conduct fraudulent transactions or otherwise modify the flow of the application to derive certain benefits.","User state is maintained at least in some way in user-controllable locations, such as cookies or URL parameters.",High,Analysis; Modification of Resources,":: KNOWLEDGE TYPE : The adversary needs to have knowledge of state management as employed by the target application, and also the ability to manipulate the state in a meaningful way. SKILL LEVEL : Medium ::"
75,Manipulating Writeable Configuration Files,"Generally these are manually edited files that are not in the preview of the system administrators, any ability on the attackers' behalf to modify these files, for example in a CVS repository, gives unauthorized access directly to the application, the same as authorized users.",Configuration files must be modifiable by the attacker,Very High,Modification of Resources,":: KNOWLEDGE TYPE : To identify vulnerable configuration files, and understand how to manipulate servers and erase forensic evidence SKILL LEVEL : Medium ::"
76,Manipulating Web Input to File System Calls,"An attacker manipulates inputs to the target software which the target software passes to file system calls in the OS. The goal is to gain access to, and perhaps modify, areas of the file system that the target software did not intend to be accessible.",Program must allow for user controlled variables to be applied directly to the filesystem,Very High,Injection; API Abuse; Modification of Resources,:: KNOWLEDGE TYPE : To identify file system entry point and execute against an over-privileged system interface SKILL LEVEL : Low ::
77,Manipulating User-Controlled Variables,"This attack targets user controlled variables (DEBUG=1, PHP Globals, and So Forth). An attacker can override environment variables leveraging user-supplied, untrusted query variables directly used on the application server without any data sanitization. In extreme cases, the attacker can change variables controlling the business logic of the application. For instance, in languages like PHP, a number of poorly set default configurations may allow the user to override variables.",A variable consumed by the application server is exposed to the client.A variable consumed by the application server can be overwritten by the user.The application server trusts user supplied data to compute business logic.The application server does not perform proper input validation.,Very High,Injection,:: KNOWLEDGE TYPE : The malicious user can easily try some well-known global variables and find one which matches. SKILL LEVEL : Low :: KNOWLEDGE TYPE : The attacker can use automated tools to probe for variables that she can control. SKILL LEVEL : Medium ::
78,Using Escaped Slashes in Alternate Encoding,"This attack targets the use of the backslash in alternate encoding. An attacker can provide a backslash as a leading character and causes a parser to believe that the next character is special. This is called an escape. By using that trick, the attacker tries to exploit alternate ways to encode the same character which leads to filter problems and opens avenues to attack.","The application accepts the backlash character as escape character.The application server does incomplete input data decoding, filtering and validation.",High,Injection; Protocol Manipulation; API Abuse,:: KNOWLEDGE TYPE : The attacker can naively try backslash character and discover that the target host uses it as escape character. SKILL LEVEL : Low :: KNOWLEDGE TYPE : The attacker may need deep understanding of the host target in order to exploit the vulnerability. The attacker may also use automated tools to probe for this vulnerability. SKILL LEVEL : Medium ::
79,Using Slashes in Alternate Encoding,"This attack targets the encoding of the Slash characters. An attacker would try to exploit common filtering problems related to the use of the slashes characters to gain access to resources on the target host. Directory-driven systems, such as file systems and databases, typically use the slash character to indicate traversal between directories or other container components. For murky historical reasons, PCs (and, as a result, Microsoft OSs) choose to use a backslash, whereas the UNIX world typically makes use of the forward slash. The schizophrenic result is that many MS-based systems are required to understand both forms of the slash. This gives the attacker many opportunities to discover and abuse a number of common filtering problems. The goal of this pattern is to discover server software that only applies filters to one version, but not the other.",The application server accepts paths to locate resources.The application server does insufficient input data validation on the resource path requested by the user.The access right to resources are not set properly.,High,Injection; Protocol Manipulation; API Abuse,:: KNOWLEDGE TYPE : An attacker can try variation of the slashes characters. SKILL LEVEL : Low :: KNOWLEDGE TYPE : An attacker can use more sophisticated tool or script to scan a website and find a path filtering problem. SKILL LEVEL : Medium ::
8,Buffer Overflow in an API Call,"This attack targets libraries or shared code modules which are vulnerable to buffer overflow attacks. An attacker who has access to an API may try to embed malicious code in the API function call and exploit a buffer overflow vulnerability in the function's implementation. All clients that make use of the code library thus become vulnerable by association. This has a very broad effect on security across a system, usually affecting more than one software process.",The target host exposes an API to the user.One or more API functions exposed by the target host has a buffer overflow vulnerability.,High,API Abuse; Injection,:: KNOWLEDGE TYPE : An attacker can simply overflow a buffer by inserting a long string into an attacker-modifiable injection vector. The result can be a DoS. SKILL LEVEL : Low :: KNOWLEDGE TYPE : Exploiting a buffer overflow to inject malicious code into the stack of a software system or even the heap can require a higher skill level. SKILL LEVEL : High ::
80,Using UTF-8 Encoding to Bypass Validation Logic,"This attack is a specific variation on leveraging alternate encodings to bypass validation logic. This attack leverages the possibility to encode potentially harmful input in UTF-8 and submit it to applications not expecting or effective at validating this encoding standard making input filtering difficult. UTF-8 (8-bit UCS/Unicode Transformation Format) is a variable-length character encoding for Unicode. Legal UTF-8 characters are one to four bytes long. However, early version of the UTF-8 specification got some entries wrong (in some cases it permitted overlong characters). UTF-8 encoders are supposed to use the shortest possible encoding, but naive decoders may accept encodings that are longer than necessary. According to the RFC 3629, a particularly subtle form of this attack can be carried out against a parser which performs security-critical validity checks against the UTF-8 encoded form of its input, but interprets certain illegal octet sequences as characters.",The application's UTF-8 decoder accepts and interprets illegal UTF-8 characters or non-shortest format of UTF-8 encoding.Input filtering and validating is not done properly leaving the door open to harmful characters for the target host.,High,Injection; Protocol Manipulation; API Abuse,:: KNOWLEDGE TYPE : An attacker can inject different representation of a filtered character in UTF-8 format. SKILL LEVEL : Low :: KNOWLEDGE TYPE : An attacker may craft subtle encoding of input data by using the knowledge that she has gathered about the target host. SKILL LEVEL : Medium ::
81,Web Logs Tampering,"Web Logs Tampering attacks involve an attacker injecting, deleting or otherwise tampering with the contents of web logs typically for the purposes of masking other malicious behavior. Additionally, writing malicious data to log files may target jobs, filters, reports, and other agents that process the logs in an asynchronous attack pattern. This pattern of attack is similar to Log Injection-Tampering-Forging except that in this case, the attack is targeting the logs of the web server and not the application.",Target server software must be a HTTP server that performs web logging.,High,Modification of Resources; Time and State,:: KNOWLEDGE TYPE : To input faked entries into Web logs SKILL LEVEL : Low ::
82,Violating Implicit Assumptions Regarding XML Content (aka XML Denial of Service (XDoS)),"XML Denial of Service (XDoS) can be applied to any technology that utilizes XML data. This is, of course, most distributed systems technology including Java, .Net, databases, and so on. XDoS is most closely associated with web services, SOAP, and Rest, because remote service requesters can post malicious XML payloads to the service provider designed to exhaust the service provider's memory, CPU, and/or disk space. The main weakness in XDoS is that the service provider generally must inspect, parse, and validate the XML messages to determine routing, workflow, security considerations, and so on. It is exactly these inspection, parsing, and validation routines that XDoS targets. There are three primary attack vectors that XDoS can navigate All of the above attacks exploit the loosely coupled nature of web services, where the service provider has little to no control over the service requester and any messages the service requester sends.","Attacker must be able to send a malicious XML payload to host, such as SOAP or REST web service.",Very High,Injection,:: KNOWLEDGE TYPE : Crafting malicious XML content and injecting it through standard interfaces SKILL LEVEL : Low ::
83,XPath Injection,"An attacker can craft special user-controllable input consisting of XPath expressions to inject the XML database and bypass authentication or glean information that he normally would not be able to. XPath Injection enables an attacker to talk directly to the XML database, thus bypassing the application completely. XPath Injection results from the failure of an application to properly sanitize input used as part of dynamic XPath expressions used to query an XML database.",XPath queries used to retrieve information stored in XML documentsUser-controllable input not properly sanitized before being used as part of XPath queries,High,Injection,:: KNOWLEDGE TYPE : XPath Injection shares the same basic premises with SQL Injection. An attacker must have knowledge of XPath syntax and constructs in order to successfully leverage XPath Injection SKILL LEVEL : Low ::
